time;rawEEG;attention;meditation;signalStrength;alpha1;alpha2;beta1;beta2;delta;gamma1;gamma2;theta;blink
63832186565853;45;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186565853;49;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186565853;48;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186565853;53;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186565853;74;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186565853;89;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186565853;82;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186565853;56;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186565853;53;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186565853;72;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186565853;86;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186565853;84;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186565853;81;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186565853;76;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186565884;75;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186565884;82;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186565884;91;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186565884;97;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186565884;84;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186565884;70;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186565884;66;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186565884;73;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186565884;85;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186565884;87;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186565884;89;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186565884;71;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186565884;25;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186565884;-10;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186565884;8;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186565884;81;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186565884;148;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186565884;160;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186565884;128;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186565884;88;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186565884;75;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186565884;109;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186565884;152;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186565884;166;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186565884;154;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186565884;125;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186565884;92;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186565884;85;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186565884;103;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186565884;135;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186565884;147;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186565931;144;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186565931;170;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186565931;227;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186565931;260;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186565931;244;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186565931;202;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186565931;185;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186565931;216;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186565931;233;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186565962;211;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186565962;184;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186565962;168;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186565962;173;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186565962;202;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186565962;235;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186565962;247;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186565962;250;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186565962;284;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186565962;312;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186565962;314;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186565962;320;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186565962;333;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186565962;336;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186565962;320;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186565962;308;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186565962;313;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186565962;330;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186565962;328;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186565962;305;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186565962;280;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186565962;277;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186565962;288;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186565962;291;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186565962;277;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186565962;235;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186565962;198;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186565962;177;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186565962;167;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186565962;163;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186565962;161;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186565962;154;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186565994;163;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186565994;169;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186565994;148;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186565994;109;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186565994;87;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186565994;93;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186565994;105;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186565994;89;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186565994;48;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186566025;-1;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186566025;-20;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186566025;-13;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186566025;-27;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186566025;-62;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186566025;-93;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186566025;-87;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186566025;-43;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186566025;-33;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186566025;-60;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186566025;-93;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186566025;-103;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186566025;-86;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186566025;-73;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186566025;-77;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186566025;-91;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186566025;-117;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186566025;-146;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186566056;-161;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186566056;-165;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186566056;-177;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186566056;-170;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186566056;-151;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
63832186566056;-129;53;35;100;5171;2038;4876;6168;35007;6852;2382;10773;33
