time;rawEEG;attention;meditation;signalStrength;alpha1;alpha2;beta1;beta2;delta;gamma1;gamma2;theta;blink
63832197306911;-149;47;53;100;3492;6363;3892;2542;22570;2416;395;39107;75
63832197306911;-138;47;53;100;3492;6363;3892;2542;22570;2416;395;39107;75
63832197306911;-129;47;53;100;3492;6363;3892;2542;22570;2416;395;39107;75
63832197306911;-109;47;53;100;3492;6363;3892;2542;22570;2416;395;39107;75
63832197306911;-102;47;53;100;3492;6363;3892;2542;22570;2416;395;39107;75
63832197306911;-116;47;53;100;3492;6363;3892;2542;22570;2416;395;39107;75
63832197306911;-104;47;53;100;3492;6363;3892;2542;22570;2416;395;39107;75
63832197306911;-84;47;53;100;3492;6363;3892;2542;22570;2416;395;39107;75
63832197306911;-98;47;53;100;3492;6363;3892;2542;22570;2416;395;39107;75
63832197306911;-121;47;53;100;3492;6363;3892;2542;22570;2416;395;39107;75
63832197306911;-110;47;53;100;3492;6363;3892;2542;22570;2416;395;39107;75
63832197306911;-76;47;53;100;3492;6363;3892;2542;22570;2416;395;39107;75
63832197306911;-56;47;53;100;3492;6363;3892;2542;22570;2416;395;39107;75
63832197306911;-55;47;53;100;3492;6363;3892;2542;22570;2416;395;39107;75
63832197306911;-58;47;53;100;3492;6363;3892;2542;22570;2416;395;39107;75
63832197306911;-53;47;53;100;3492;6363;3892;2542;22570;2416;395;39107;75
63832197306911;-55;47;53;100;3492;6363;3892;2542;22570;2416;395;39107;75
63832197306911;-58;47;53;100;3492;6363;3892;2542;22570;2416;395;39107;75
63832197306911;-38;47;53;100;3492;6363;3892;2542;22570;2416;395;39107;75
63832197306911;-17;47;53;100;3492;6363;3892;2542;22570;2416;395;39107;75
63832197306911;-4;47;53;100;3492;6363;3892;2542;22570;2416;395;39107;75
63832197306911;-6;47;53;100;3492;6363;3892;2542;22570;2416;395;39107;75
63832197306911;-10;47;53;100;3492;6363;3892;2542;22570;2416;395;39107;75
63832197306911;-10;47;53;100;3492;6363;3892;2542;22570;2416;395;39107;75
63832197306911;-6;47;53;100;3492;6363;3892;2542;22570;2416;395;39107;75
63832197306911;-3;47;53;100;3492;6363;3892;2542;22570;2416;395;39107;75
63832197306911;2;47;53;100;3492;6363;3892;2542;22570;2416;395;39107;75
63832197306911;12;47;53;100;3492;6363;3892;2542;22570;2416;395;39107;75
63832197306911;33;47;53;100;3492;6363;3892;2542;22570;2416;395;39107;75
63832197306911;43;47;53;100;3492;6363;3892;2542;22570;2416;395;39107;75
63832197306911;24;47;53;100;3492;6363;3892;2542;22570;2416;395;39107;75
63832197306911;19;47;53;100;3492;6363;3892;2542;22570;2416;395;39107;75
63832197306958;52;47;53;100;3492;6363;3892;2542;22570;2416;395;39107;75
63832197306958;66;47;53;100;3492;6363;3892;2542;22570;2416;395;39107;75
63832197306958;55;47;53;100;3492;6363;3892;2542;22570;2416;395;39107;75
63832197306958;48;47;53;100;3492;6363;3892;2542;22570;2416;395;39107;75
63832197306958;48;47;53;100;3492;6363;3892;2542;22570;2416;395;39107;75
63832197306958;51;47;53;100;3492;6363;3892;2542;22570;2416;395;39107;75
63832197306958;54;47;53;100;3492;6363;3892;2542;22570;2416;395;39107;75
63832197306958;64;47;53;100;3492;6363;3892;2542;22570;2416;395;39107;75
63832197306958;80;47;53;100;3492;6363;3892;2542;22570;2416;395;39107;75
63832197306958;91;47;53;100;3492;6363;3892;2542;22570;2416;395;39107;75
63832197306958;99;47;53;100;3492;6363;3892;2542;22570;2416;395;39107;75
63832197306958;92;47;53;100;3492;6363;3892;2542;22570;2416;395;39107;75
63832197306958;86;47;53;100;3492;6363;3892;2542;22570;2416;395;39107;75
63832197306958;76;47;53;100;3492;6363;3892;2542;22570;2416;395;39107;75
63832197306958;68;47;53;100;3492;6363;3892;2542;22570;2416;395;39107;75
63832197306958;71;47;53;100;3492;6363;3892;2542;22570;2416;395;39107;75
63832197306958;64;47;53;100;3492;6363;3892;2542;22570;2416;395;39107;75
63832197306958;57;47;53;100;3492;6363;3892;2542;22570;2416;395;39107;75
63832197306958;56;47;53;100;3492;6363;3892;2542;22570;2416;395;39107;75
63832197306958;64;47;53;100;3492;6363;3892;2542;22570;2416;395;39107;75
63832197306958;65;47;53;100;3492;6363;3892;2542;22570;2416;395;39107;75
63832197306958;67;47;53;100;3492;6363;3892;2542;22570;2416;395;39107;75
63832197306958;72;47;53;100;3492;6363;3892;2542;22570;2416;395;39107;75
63832197306958;72;47;53;100;3492;6363;3892;2542;22570;2416;395;39107;75
63832197306958;60;47;53;100;3492;6363;3892;2542;22570;2416;395;39107;75
63832197306958;65;47;53;100;3492;6363;3892;2542;22570;2416;395;39107;75
63832197306958;66;47;53;100;3492;6363;3892;2542;22570;2416;395;39107;75
63832197306958;66;47;53;100;3492;6363;3892;2542;22570;2416;395;39107;75
63832197306958;66;47;53;100;3492;6363;3892;2542;22570;2416;395;39107;75
