time;rawEEG;attention;meditation;signalStrength;alpha1;alpha2;beta1;beta2;delta;gamma1;gamma2;theta;blink
63832186229431;32;0;0;0;11245;19888;34212;44492;330191;27201;16358;36417;0
63832186229431;29;0;0;0;11245;19888;34212;44492;330191;27201;16358;36417;0
63832186229431;36;0;0;0;11245;19888;34212;44492;330191;27201;16358;36417;0
63832186229431;42;0;0;0;11245;19888;34212;44492;330191;27201;16358;36417;0
63832186229431;43;0;0;0;11245;19888;34212;44492;330191;27201;16358;36417;0
63832186229431;39;0;0;0;11245;19888;34212;44492;330191;27201;16358;36417;0
63832186229431;36;0;0;0;11245;19888;34212;44492;330191;27201;16358;36417;0
63832186229431;42;0;0;0;11245;19888;34212;44492;330191;27201;16358;36417;0
63832186229431;57;0;0;0;11245;19888;34212;44492;330191;27201;16358;36417;0
63832186229431;73;0;0;0;11245;19888;34212;44492;330191;27201;16358;36417;0
63832186229431;67;0;0;0;11245;19888;34212;44492;330191;27201;16358;36417;0
63832186229431;52;0;0;0;11245;19888;34212;44492;330191;27201;16358;36417;0
63832186229431;50;0;0;0;11245;19888;34212;44492;330191;27201;16358;36417;0
63832186229431;53;0;0;0;11245;19888;34212;44492;330191;27201;16358;36417;0
63832186229431;55;0;0;0;11245;19888;34212;44492;330191;27201;16358;36417;0
63832186229431;68;0;0;0;11245;19888;34212;44492;330191;27201;16358;36417;0
63832186229431;64;0;0;0;11245;19888;34212;44492;330191;27201;16358;36417;0
63832186229431;42;0;0;0;11245;19888;34212;44492;330191;27201;16358;36417;0
63832186229431;11;0;0;0;11245;19888;34212;44492;330191;27201;16358;36417;0
63832186229431;17;0;0;0;11245;19888;34212;44492;330191;27201;16358;36417;0
63832186229431;42;0;0;0;11245;19888;34212;44492;330191;27201;16358;36417;0
63832186229431;59;0;0;0;11245;19888;34212;44492;330191;27201;16358;36417;0
63832186229431;55;0;0;0;11245;19888;34212;44492;330191;27201;16358;36417;0
63832186229431;40;0;0;0;11245;19888;34212;44492;330191;27201;16358;36417;0
63832186229431;26;0;0;0;11245;19888;34212;44492;330191;27201;16358;36417;0
63832186229431;24;0;0;0;11245;19888;34212;44492;330191;27201;16358;36417;0
63832186229431;33;0;0;0;11245;19888;34212;44492;330191;27201;16358;36417;0
63832186229431;49;0;0;0;11245;19888;34212;44492;330191;27201;16358;36417;0
63832186229431;64;0;0;0;11245;19888;34212;44492;330191;27201;16358;36417;0
63832186229431;69;0;0;0;11245;19888;34212;44492;330191;27201;16358;36417;0
63832186229431;67;0;0;0;11245;19888;34212;44492;330191;27201;16358;36417;0
63832186229431;74;0;0;0;11245;19888;34212;44492;330191;27201;16358;36417;0
63832186229431;70;0;0;0;11245;19888;34212;44492;330191;27201;16358;36417;0
63832186229431;56;0;0;0;11245;19888;34212;44492;330191;27201;16358;36417;0
63832186229431;51;0;0;0;11245;19888;34212;44492;330191;27201;16358;36417;0
63832186229431;56;0;0;0;11245;19888;34212;44492;330191;27201;16358;36417;0
63832186229431;65;0;0;0;11245;19888;34212;44492;330191;27201;16358;36417;0
63832186229431;70;0;0;0;11245;19888;34212;44492;330191;27201;16358;36417;0
63832186229431;66;0;0;0;11245;19888;34212;44492;330191;27201;16358;36417;0
63832186229431;82;0;0;0;11245;19888;34212;44492;330191;27201;16358;36417;0
63832186229431;83;0;0;0;11245;19888;34212;44492;330191;27201;16358;36417;0
63832186229431;59;0;0;0;11245;19888;34212;44492;330191;27201;16358;36417;0
63832186229431;53;0;0;0;11245;19888;34212;44492;330191;27201;16358;36417;0
63832186229431;70;0;0;0;11245;19888;34212;44492;330191;27201;16358;36417;0
63832186229431;84;0;0;0;11245;19888;34212;44492;330191;27201;16358;36417;0
63832186229431;81;0;0;0;11245;19888;34212;44492;330191;27201;16358;36417;0
63832186229431;54;0;0;0;11245;19888;34212;44492;330191;27201;16358;36417;0
63832186229431;39;0;0;0;11245;19888;34212;44492;330191;27201;16358;36417;0
63832186229431;34;0;0;0;11245;19888;34212;44492;330191;27201;16358;36417;0
63832186229431;38;0;0;0;11245;19888;34212;44492;330191;27201;16358;36417;0
63832186229431;55;0;0;0;11245;19888;34212;44492;330191;27201;16358;36417;0
63832186229431;67;0;0;0;11245;19888;34212;44492;330191;27201;16358;36417;0
63832186229431;64;0;0;0;11245;19888;34212;44492;330191;27201;16358;36417;0
