time;rawEEG;attention;meditation;signalStrength;alpha1;alpha2;beta1;beta2;delta;gamma1;gamma2;theta;blink
63832196673175;36;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673175;43;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673175;49;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673175;55;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673175;55;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673175;36;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673175;24;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673175;42;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673175;68;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673175;74;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673175;65;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673175;43;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673175;25;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673175;22;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673222;25;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673222;25;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673222;9;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673222;-13;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673222;-29;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673222;-29;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673222;-22;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673222;-20;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673222;-24;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673222;-21;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673222;0;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673222;18;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673222;22;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673222;11;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673222;-2;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673222;1;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673222;23;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673222;45;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673253;40;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673253;36;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673253;48;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673253;56;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673253;55;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673253;54;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673253;49;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673253;42;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673253;34;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673253;28;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673253;28;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673253;33;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673253;44;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673253;50;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673253;33;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673253;20;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673253;17;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673253;25;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673253;42;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673253;45;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673253;24;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673253;3;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673300;4;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673300;24;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673300;38;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673300;26;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673300;1;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673300;-7;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673300;4;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673300;21;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673300;42;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673300;43;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673300;23;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673300;5;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673300;-4;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673300;-6;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673300;-1;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673300;4;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673300;20;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673300;32;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673300;32;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673300;38;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673300;45;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673300;37;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673300;36;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673300;49;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673300;64;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673300;71;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673300;61;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673347;24;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673347;32;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673347;43;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673347;57;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673347;58;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673347;44;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673347;39;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673347;58;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673347;75;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673347;75;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673347;70;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673347;64;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673347;70;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673378;76;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673378;90;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673378;92;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673378;83;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673378;72;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673378;67;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673378;64;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673378;67;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673378;74;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673378;69;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673378;56;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673378;56;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673378;65;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673378;76;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673378;82;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673378;77;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673378;73;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673378;74;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673378;69;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673378;74;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673378;85;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673378;86;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673378;88;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673378;99;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673378;96;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673378;73;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673425;57;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673425;53;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673425;72;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673425;96;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673425;98;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673425;96;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673425;98;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673425;89;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673425;69;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673425;65;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
63832196673425;68;48;100;100;24942;11216;1711;7927;150910;5054;5667;65896;52
